"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","ANO"
"571","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2019/08/23/69269a509e22002208076d8511c9258a_FORMATO.png",69177,35,314,"lat","Provável",-1,4.62,0.27,2.22,"Avaí",2019
"572","Bruno da Silva Costa Leite","bruno-leite","Bruno Leite","https://s.glbimg.com/es/sde/f/2018/03/05/37cc69ce211fa6a6c3fb2fa03e905809_FORMATO.png",102301,35,293,"mei","Contundido",0,2,0,0,"Athlético-PR",2019
"573","Lucas Bessa dos Santos Costa","lucas-bessa","Lucas Bessa","https://s.glbimg.com/es/sde/f/2018/01/23/64c94d10451db5a343e890e0255f7c97_FORMATO.jpeg",98494,35,285,"mei","Nulo",0,1,0,0,"Internacional",2019
"574","Romulo Borges Monteiro","romulo","Romulo","https://s.glbimg.com/es/sde/f/2019/03/30/b06f6bb3a42e7565fe15d4abdbbbe956_FORMATO.png",70009,35,284,"mei","Nulo",0,4.41,0,1.9,"Grêmio",2019
"575","Kendy Tateishi Berbel","kendy","Kendy","https://s.glbimg.com/es/sde/f/2018/05/24/523e1089d0afe7b92de643fefef0ec55_FORMATO.png",98421,35,315,"mei","Nulo",0,2,0,0,"Chapecoense",2019
"576","William Oliveira dos Santos","william-oliveira","William Oliveira","https://s.glbimg.com/es/sde/f/2019/03/28/a3452277d99839a5fd7add732b5aa132_FORMATO.png",94297,35,354,"mei","Nulo",0,2.59,0,1.45,"Ceará",2019
"577","Rafael Elias da Silva","papagaio","Papagaio","https://s.glbimg.com/es/sde/f/2019/09/27/cdda17397bdf2928c7ac7b2fa93f659c_FORMATO.jpeg",102302,35,290,"ata","Nulo",0,1.21,0,0.16,"Goiás",2019
"578","Jony Alexander González Copete","yony-gonzalez","Yony González","https://s.glbimg.com/es/sde/f/2019/09/16/6e11b752b529568fe0635d0f869f0dfa_FORMATO.png",97080,35,266,"ata","Provável",1.9,13.01,-1.27,5.33,"Fluminense",2019
"579","Victor Ferraz Macedo","victor-ferraz","Victor Ferraz","https://s.glbimg.com/es/sde/f/2018/05/23/229fbb519d2bbf0c8b2c2b77992e15ed_FORMATO.png",70046,35,277,"lat","Provável",0,10.54,0,4.67,"Santos",2019
"580","Maycon Vinícius Ferreira da Cruz","nikao","Nikão","https://s.glbimg.com/es/sde/f/2019/03/30/e389d21dd5909e815633dfb6c0fffca7_FORMATO.png",69705,35,293,"mei","Suspenso",7,15.84,1.17,4.52,"Athlético-PR",2019
"581","Fellipe Ramos Ignez Bastos","fellipe-bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2019/03/26/c1b84ba942df91f5064aabec2e10f1de_FORMATO.png",70116,35,267,"mei","Nulo",0,4.91,0,2.91,"Vasco",2019
"582","Alan Santos da Silva","alan-santos","Alan Santos","https://s.glbimg.com/es/sde/f/2019/03/22/1276ddf39afc2fbbc816f01fd6d4afb2_FORMATO.png",70132,35,263,"mei","Nulo",0,2.8,0,0.47,"Botafogo",2019
"583","Alessandro Vinícius Gonçalves da Silva","alessandro-vinicius","Alessandro Vinícius","https://s.glbimg.com/es/sde/f/2019/03/30/ffa3db77225e133627999054dd742e50_FORMATO.png",94495,35,282,"mei","Nulo",0,1,0,0,"Atlético-MG",2019
"584","Rafael Lucas Cardoso Santos","rafael-santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2019/03/28/218f2be6e5fe193939a7c29948a70d4d_FORMATO.png",97907,35,283,"lat","Nulo",0,0.9,0,1.65,"Cruzeiro",2019
"585","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2019/01/14/e85d3259b80c8d878e2b07eae90749ee_FORMATO.jpeg",94509,35,275,"mei","Nulo",0.4,6.34,-0.14,2.1,"Palmeiras",2019
"586","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2019/03/22/0dc3b607fbf0f1db6f328cdcfd7169d0_FORMATO.png",87393,35,263,"zag","Suspenso",4.1,9.27,-0.42,3.2,"Botafogo",2019
